,,,
Month,Shot Description,Notes / Direction,Status
March,"Cleaning/Setting up Workspace (putting all materials out)
",,To FIlm
,Close up of designing something on the computer,,To FIlm
,Scrolling through a website - phone facing your back (you can do high rise view in the back),Ex) https://drive.google.com/file/d/1dkSJPQhOthenRKqB4j6K0AUQ7PaecEZw/view?usp=sharing ,To FIlm
,Chris and Ivonne living daily life (with family as well),Just always be taking videos of what you're doing and that can be used for any video ever,To FIlm
,Chris and Ivonne working at events,,To FIlm
,Videos when visiting clients,,To FIlm
,Quick clips of Chris on sales calls,,To FIlm
,"Morning routine — coffee, phone, getting ready for the workday",,To FIlm
,Ivonne and Chris enjoying their hobbies & free time,,To FIlm
,,,To FIlm
,,,To FIlm
,,,To FIlm
,,,To FIlm
